,case,location,date,summary,fatalities,injured,total_victims,place,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,sources,mental_health_sources,sources_additional_age,latitude,longitude,type,year,s#
354,Cafe in Seattle,"Seattle, Washington",2012-05-30,"On May 30, 2012, a 40-year old man went to a coffee shop in Seattle, Washington, where he was asked to leave due to his belligerent behaviour the previous week. The man opened fire and killed four people and injured another one. He then fled and later killed a female motorist, taking off with her SUV. Five hours later, while he was being confronted by police, he killed himself with a gunshot.",6,1,6,,,Yes,,,,,,White American or European American,Male,,,,4.762.199.575,-122.323.646,,,206.0
356,"North Tulsa, Oklahoma","Tulsa, Oklahoma",2012-04-06,"On April 6, 2012, a 19-year old and a 32-year old man went on a deadly shooting spree in Tulsa, Oklahoma, shooting black men at random in an apparently racially motivated attack. Three men died and two were wounded. The victims were chosen at random.",3,2,5,,,No,,,,,,White American or European American,Male,,,,3.613.543.238,-9.591.316.117,,,208.0
358,Oikos University,"Oakland, California",2012-04-02,"On April 2, 2012, a 43-year old former student at Oikos University, a Korean Christian college in Oakland, California, opened fired in a classroom killing seven people and injuring other three. The attacker continued to fire shots as he fled the campus, driving away in a car belonging to one of his victims. Hours later he surrendered to authorities.",7,3,10,,,Yes,,,,,,Asian American,Male,,,,3.779.176.806,-1.222.153.171,,,210.0
359,Chardon High School,"Chardon, Ohio",2012-02-27,"On February 27, 2012, a 17-year old student entered Chardon High School in Chardon, Ohio, shooting  students in the cafeteria and in the hallway, leaving three students dead and three injured. He then was chased out of the school by a teacher and was arrested outside the school.",3,3,6,,,Yes,,,,,,White American or European American,Male,,,,4.158.025.541,-8.120.812.625,,,211.0
361,Su Jung Health Sauna,"Norcross, Georgia",2012-02-22,"On February 22, 2012, a 59-year old man hours before the shooting unfolded, police said Paek was asked to leave the spa because he was being disruptive. Burst into a spa his family owned in Norcross, near Atlanta, Georgia. He killed four relatives before turning the gun on himself.",5,0,4,,,Yes,,,,,,Asian American,Male,,,,3.394.104.379,-8.420.985.979,,,213.0
362,Ensley Birmingham,"Birmingham, Alabama",2012-01-29,"Three teenagers attempted to rob a house in the early morning of January 29, 2012. Five people were in the house playing cards, and each was shot to death in the back of the head; four of their bodies were found naked in bedroom, and one had been shot 12 times.",5,0,5,,,No,,,,,,Black American or African American,Male,,,,335.282.865,-8.679.550.448,,,214.0
363,Seal Beach shooting,"Seal Beach, California",2011-10-14,"Scott Evans Dekraai, 42, opened fire inside a hair salon and was later arrested.",8,1,9,,,Yes,,,,,,white,Male,,,,33.741.176,-1.181.046.356,,,215.0
364,Salon Meritage,"Seal Beach, California",2011-10-12,"On October 12, 2011, a 41-year old allegedly opened fire at a hair salon in Seal Beach, California, where his former wife worked. Eight people inside the salon and one person in the parking lot were shot, and only one victim survived. The shooter was later arrested about half a mile away from the salon. He argued earlier that day over the phone with his ex-wife over a custody dispute regarding their 8-year old son.",8,1,9,,,Yes,,,,,,White American or European American,Male,,,,3.375.432.632,-1.180.715.378,,,216.0
366,Carson City IHOP,"Carson City, Nevada",2011-09-06,"On September 6, 2011, a 32-year old man arrived at a local strip mall in Carson City, Nevada. He got out and shot and wounded a man on a motorcycle. He then walked inside the center's IHOP restaurant and shot eleven people, four of them fatally. Then he left the restaurant and began shooting into nearby businesses, injuring no one. When police arrived, the shooter turned the gun of himself.",5,7,11,,,Yes,,,,,,Some other race,Male,,,,3.916.464.203,-1.197.763.025,,,218.0
367,Residences in Grand Rapids,"Grand Rapids, Michigan",2011-07-07,"On July 7, 2011, a 34-year old man went to two homes on a shooting rampage, killing his estranged wife, their daughter, his former girlfriend, and members of the victims' families. The shooter kept shooting at random as he fled by car and followed and shot another ex-girlfriend while she was driving on her car. The gunman was chased by police that forced him to exit his vehicle and ran on foot, entering a random residence where he took three hostages. He ended releasing the hostages and committing suicide.",8,2,9,,,Yes,,,,,,Black American or African American,Male,,,,4.296.920.434,-8.566.008.902,,,219.0
368,Southern Union State Community College,"Opelika, Alabama",2011-04-06,"On April 6, 2011, a 34-year old man went to the Opelika campus of Southern Union State Community College in Alabama, where his former wife was a student. He fired into a car and shot and killed his mother-in-law and injured his estranged wife, her grandmother, and her 4-year old daughter. Hours later returned to the crime scene and confessed to a photographer that he was the shooter. He was later arrested by the police.",1,3,4,,,Yes,,,,,,White American or European American,Male,,,,3.266.240.106,-8.537.706.931,,,220.0
369,Youngstown State University,"Youngstown, Ohio",2011-02-06,"On February 6, 2011, two 19-year old man and a 22-year old man were involved in an argument over a girl in a fraternity house party in Youngstown State University in Ohio. A dispute ensued and one man was thrown out of the party and the other followed. They returned sometime later and began spraying bullets into the crowd, killing one student and injuring eleven others.",1,11,12,,,Unknown,,,,,,Black American or African American,Male,,,,4.109.933.958,-8.064.631.705,,,221.0
371,"Tucson, Arizona","Tucson, Arizona",2011-01-08,"On January 8, 2011, a 22-year old went to a parking lot where a U.S. Representative was holding a meeting in a supermarket parking lot in Casas Adobes, near Tucson, Arizona. The gunman shot and injured the congresswoman, her intended target and then started to shoot randomly, killing six people and injuring twelve others. The shooter was subdued by bystanders and arrested by police.",6,13,19,,,Yes,,,,,,White American or European American,Male,,,,3.215.358.905,-1.109.677.647,,,223.0
373,Hartford Beer Distributors,"Manchester, Connecticut",2010-08-03,"On August 3, 2010, a 34-year old man was called into his place of employment at Hartford Beer Distributors in Manchester, Connecticut for disciplinary purposes. He signed resignation papers after he was accused of stealing beer and while he was been escorted out of the building, he opened fire killing eight coworkers and injuring two others before committing suicide.",9,2,10,,,Unknown,,,,,,Black American or African American,Male,,,,4.178.013.821,-7.251.918.655,,,225.0
374,University of Alabama in Huntsville,"Huntsville, Alabama",2010-02-12,"On February 12, 2010, a 44-year old professor went to a faculty meeting at the University of Alabama in Huntsville. She sat quietly at the meeting for 30 or 40 minutes before pulling out a gun, killing three of her coworkers and injuring three others. She was later arrested outside the building.",0,3,6,,,No,,,,,,White American or European American,Female,,,,3.472.827.538,-866.723.055,,,226.0
376,Parkland Coffee Shop,"Lakewood, Washington",2009-11-29,"On November 29, 2009, a 37-year old convicted felon who was out on bail, entered a coffee shop in Lakewood, Washington. The gunman shot and killed four off-duty police officers who had gone there to use their laptops before their shifts. After a two-day manhunt, the gunman was shot and killed by a police officer in south Seattle.",5,0,4,,,Yes,,,,,,Black American or African American,Male,,,,4.716.267.579,-1.225.296.574,,,228.0
378,Fort Hood Army Base,"Fort Hood, Texas",2009-11-05,"On November 5, 2009, a 39-year old U.S. Army psychiatrist fatally shot thirteen people and injured thirty-two at Fort Hood Army Base located in Killeen, Texas. He was shot and wounded by another soldier and arrested as he fell unconscious.",13,32,45,,,Yes,,,,,,White American or European American,Male,,,,3.113.814.354,-9.777.797.804,,,230.0
380,Immigration Services Center in Binghamton,"Binghamton, New York",2009-04-03,"On April 3, 2009, a 41-year old unemployed man entered an immigration services center in Binghamton, New York, where he previously took classes. He shot and killed thirteen people in the building and injured four others before he committed suicide.",14,4,17,,,Yes,,,,,,Asian American,Male,,,,4.210.140.103,-7.590.922.294,,,232.0
382,"Rivermark, Santa Clara, California","Santa Clara, California",2009-03-29,"On March 29, 2009, a 42-year-old web analytics technician for Yahoo! in Santa Clara, California began shooting in his home. He killed his two children, his brother-in-law, sister-in-law, and their infant daughter before committing suicide. He was found to have a growing brain tumor during the autopsy.",6,1,6,,,No,,,,,,Asian American,Male,,,,3.736.463.172,-1.219.679.315,,,234.0
383,Pinelake Health and Rehab nursing home,"Carthage, North Carolina",2009-03-29,"On March 29, 2009, a 45-year old man opened fire at the Pinelake Health and Rehab nursing home in Carthage, North Carolina, where his estranged wife worked. The shooter killed eight people and wounded another two before being shot and arrested by a police officer. His ex-wife, the apparent main target, survived the shooting unharmed by hiding in the Alzheimer ward of the building, which was secured by passcode-protected doors.",8,2,10,,,Yes,,,,,,White American or European American,Male,,,,3.533.985.609,-7.941.381.725,,,235.0
384,"Geneva County, Alabama","Geneva, Alabama",2009-03-10,"On March 10, 2009, a 28-year-old grocery worker in Geneva County, Alabama went to his mother's home to kill her and her three dogs before setting the house on fire. He then went to his uncle's house, killing him, two of his cousins, two neighbors and wounded an aunt and an infant neighbor. He then went next-door and killed his grandmother before fleeing the scene. He killed three passers by and shot at anyone trying to flee or stop him. In total, ten were killed and six were wounded. He committed suicide as police attempted to detain him.",11,6,16,,,No,,,,,,White American or European American,Male,,,,3.104.367.594,-858.763.466,,,236.0
385,"Covina, California","Covina, California",2008-12-24,"On December 24, 2008, a 45-year-old man entered his brother's residence in Covina, California while dressed in a Santa Claus costume. He then opened fire on his family and ex-wife, killing several before setting the house ablaze. He committed suicide with a gunshot wound to the head. Nine victims died in the incident and two of the wounded escaped the fire.",10,2,11,,,No,,,,,,White American or European American,Male,,,,3.409.026.669,-1.178.819.958,,,237.0
386,University of Central Arkansas,"Conway, Arkansas",2008-10-26,"On October 26, 2008, four men between the ages of 19 and 20 arrived at a dormitory at the University of Central Arkansas in Conway, Arkansas and began shooting. The shooters killed two students and wounded a visitor before being arrested.",0,1,3,,,No,,,,,,Black American or African American,Male,,,,3.508.130.744,-9.243.278.275,,,238.0
387,South Mountain Community College,"Phoenix, Arizona",2008-07-24,"On July 24, 2008, a 24-year-old man arrived at the South Mountain Community College in Phoenix, Arizona. He began shooting at two men who had hospitalized him seven months prior and a third was wounded in the incident before the shooter was arrested. No fatalities resulted from the shooting.",0,3,3,,,No,,,,,,Black American or African American,Male,,,,3.357.145.875,-1.120.904.854,,,239.0
389,Atlantis Plastics,"Henderson, Kentucky",2008-06-25,"On June 25, 2008, a 25-year-old factory worker at Atlantis Plastics in Henderson, Kentucky had been reprimanded by a supervisor and escorted out of his workplace. He returned with a gun and began shooting, killing his supervisor, five employees and wounded a sixth before committing suicide.",7,1,7,,,No,,,,,,White American or European American,Male,,,,3.784.040.411,-8.757.853.755,,,241.0
391,Northern Illinois University,"DeKalb, Illinois",2008-02-14,"On February 14, 2008, a 27-year old former student of the Northern Illinois University in Dekalb, Illinois forcefully entered an oceanography lecture hall and began shooting at students and the professor. The shooter killed five and wounded seventeen before committing suicide. The shooter was said to have been taking medication for anxiety, depression and insomnia but had stopped the medication shortly before the incident.",6,17,22,,,Yes,,,,,,White American or European American,Male,,,,4.193.172.129,-8.874.814.853,,,243.0
393,Kirkwood City Hall,"Kirkwood, Missouri",2008-02-07,"On February 7, 2008, a 52-year-old construction worker entered the City Hall building in Kirkwood, Missouri and opened fire on a police officer, taking the officer's gun and continuing on to the commencing city council meeting. He began shooting at the council members and reporters, killing five and wounding two others before being killed by police. The mayor suffered wounds that he died from several months later.",6,2,7,,,No,,,,,,Black American or African American,Male,,,,3.857.889.169,-9.042.023.754,,,245.0
394,"Carnation, Washington","Carnation, Washington",2007-12-24,"On December 24, 2007, an unemployed woman and her boyfriend, both aged 29, shot the woman's father in regards to a financial dispute in his home in Carnation, Washington. The couple then shot the woman's mother before her brother, his wife and children arrived, upon which the couple shot and killed all four. They were later arrested in the home.",6,0,6,,,No,,,,,,White American or European American,Male/Female,,,,4.764.628.742,-1.219.088.524,,,246.0
395,Mojave High School Bus,"Las Vegas, Nevada",2007-12-11,"On December 11, 2007, an 18-year-old high school drop out of Mojave High School in Las Vegas, Nevada arrived at a school bus stop where he planned an encounter with a student who had bumped into him the day before. He then began shooting at the student and others, wounding six before fleeing the scene. The shooter was arrested in Denver, CO after the police received a tip that he was on a bus to Chicago.",0,6,6,,,No,,,,,,Black American or African American,Male,,,,3.618.931.923,-1.153.264.875,,,247.0
396,Youth With A Mission and New Life Church,"Arvada, Colorado",2007-12-09,"On December 9, 2007, a 24-year-old failed missionary entered the Youth With A Mission training center in Arvada, Colorado and began shooting, killing two and wounding two others. He then went to the New Life Church, shooting and killing two more and wounding three others. A former police officer in the congregation opened fire on the shooter, wounding him before he decided to take his own life.",5,5,9,,,No,,,,,,White American or European American,Male,,,,3.981.087.474,-105.173.715,,,248.0
398,Westroads Mall,"Omaha, Nebraska",2007-12-05,"On December 5, 2007, a 19-year-old man from Omaha, Nebraska entered the Westroads Mall with the intention of taking lives before committing suicide. He killed eight shoppers and wounded four more with a stolen assault rifle before successfully killing himself.",9,4,12,,,Yes,,,,,,White American or European American,Male,,,,41.265.922,-9.605.381.421,,,250.0
399,South Middle School Football Game,"Saginaw, Michigan",2007-10-25,"On October 25, 2007, a 15-year-old student arrived at a football game at South Middle School in Saginaw, Michigan looking for his brother. He then ran into other students with which he had an ongoing confrontation and began shooting, wounding four before fleeing the scene. He was later arrested and charged with assault with intent to murder",0,4,4,,,No,,,,,,Black American or African American,Male,,,,4.341.929.117,-8.395.032.759,,,251.0
400,SuccessTech Academy,"Cleveland, Ohio",2007-10-11,"On October 11, 2007, a 14-year-old student of SuccessTech Academy in Cleveland, Ohio arrived at school two days after he had been suspended for getting into a fist-fight with another student. He then began shooting at students and teachers, injuring four during the incident and committing suicide.",1,4,4,,,Yes,,,,,,White American or European American,Male,,,,4.147.657.557,-8.168.051.502,,,252.0
402,"Apartment in Crandon, Wisconsin","Crandon, Wisconsin",2007-10-07,"In the early hours of October 7, 2007, a 20-year-old off-duty sheriff's deputy at a homecoming after party opened fire on houseguests possibly after a dispute with his girlfriend. He killed six and wounded another before fleeing the scene and committing suicide.",7,1,7,,,No,,,,,,White American or European American,Male,,,,4.556.871.416,-8.889.729.022,,,254.0
404,Virginia Tech  Campus,"Blacksburg, Virginia",2007-04-16,"On April 16, 2007, a 23-year-old mentally ill student of Virginia Tech in Blacksburg, Virginia arrived on campus and began methodically shooting at students and faculty in classrooms and hallways. He killed five faculty members and twenty seven students before shooting himself in the head.",33,17,49,,,Yes,,,,,,Asian American,Male,,,,3.722.995.471,-8.042.768.677,,,256.0
405,Springwater Trail High School,"Gresham, Oregon",2007-04-10,"On April 10, 2007, a 15-year-old student of Springwater Trail High School in Gresham, Oregon arrived to his school and began shooting at his classmates. He wounded ten and killed none before being arrested.",0,10,10,,,No,,,,,,Some other race,Male,,,,4.550.216.511,-1.224.412.759,,,257.0
406,Trolley Square shooting,"Salt Lake City, Utah",2007-02-12,"Sulejman TaloviÃâ¡Ãâ¡, 18, rampaged through the shopping center until he was shot dead by police.",6,4,10,,,Unclear,,,,,,white,Male,,,,407.606.467,-11.189.109,,,258.0
407,Trolley Square,"Salt Lake City, Utah",2007-02-12,"On February 12, 2007, an 18-year-old refugee and high school drop out in Salt Lake City, Utah arrived at Trolley Square and began shooting at the crowd. He killed five and wounded four others before being shot and killed by police. The incident was thought to be an attack of religious radicalism.",6,4,9,,,Unknown,,,,,,White American or European American,Male,,,,4.077.787.404,-1.119.312.168,,,259.0
409,West Nickel Mines Amish School,"Nickel Mines, Lancaster, Pennsylvania",2006-10-02,"On October 2, 2006, a 32-year old men killed five schoolgirls and seriously wounded five others in West Nickel Amish School in Nickel Mines, Pennsylvania before taking his own life. Before the shooting, the gunman separated the students by gender and age, letting go males and adults before locking the school. He ended up committing suicide before police broke into the school.",6,5,10,,,Unknown,,,,,,White American or European American,Male,,,,4.004.214.385,-7.630.100.872,,,261.0
410,Duquesne University,"Pittsburgh, Pennsylvania",2006-09-17,"On September 17, 2006, two 18-year old men shot at five Duquesne University basketball players after a school dance. Several players said the shooter was a non-student unhappy that the woman he accompanied to the dance had talked with a player. The shooter and at least one other man followed the players when they left the dance to walk to their dormitory. Both man were later identified and arrested.",0,5,5,,,Unknown,,,,,,Black American or African American,Male,,,,4.043.948.548,-7.997.631.581,,,262.0
411,Orange High School,"Hillsborough, North Carolina",2006-08-30,"On August 30, 2006, a 18-year old former student at Orange High School in Hillsborough, North Carolina returned to the school to open fire on students and teachers having lunch outside, injuring two students. The student was apprehended outside the school and he confessed that he had previously killed his own father at their family home.",1,2,3,,,Yes,,,,,,Some other race,Male,,,,3.604.099.857,-7.909.701.201,,,263.0
412,Essex Elementary School,"Essex Junction, Vermont",2006-08-24,"On August 24, 2006, a 26-year old killed two people and wounded two others in a shooting rampage that began at his ex-girlfriend's home  in Essex Junction, Vermont and continued at the elementary school where she worked. Afterward, the shooter went to his friend's house to get more ammunition for the gun he had borrowed from him and shot his friend. He then try to commit suicide by shooting himself twice in the head, but he survived.",2,2,4,,,Yes,,,,,,Black American or African American,Male,,,,4.449.022.039,-7.311.400.628,,,264.0
414,"Party in Capitol Hill, Seattle","Seattle, Washington",2006-03-25,"On March 25, 2006, an unemployed 28-year old went to a rave after party in a residential house in Capitol Hill, a neighborhood in Seattle, Washington. The gunman shot and killed six people and injured two more before committing suicide.",7,2,8,,,No,,,,,,White American or European American,Male,,,,4.762.199.575,-122.323.646,,,266.0
416,Goleta Post Office,"Goleta, California",2006-01-30,"On January 30, 2006, a 44-year-old postal worker on leave for psychological reasons killed her former neighbor before arriving to the Goleta Post Office where she worked in Goleta, California. She then opened fire on her coworkers, killing six before committing suicide.",8,0,7,,,Yes,,,,,,White American or European American,Female,,,,3.443.606.107,-1.198.593.619,,,268.0
418,Red Lake High School,"Red Lake, Minnesota",2005-03-21,"On March 21, 2005, after killing his grandfather and his grandfather's girlfriend in their home, a 16-year-old student of Red Lake High School in Red Lake, Minnesota arrived on campus and began shooting at his classmates and teachers. He killed five students, a teacher, a security guard and wounded five others before committing suicide.",10,5,14,,,Yes,,,,,,Native American or Alaska Native,Male,,,,4.787.067.289,-9.500.529.009,,,270.0
420,Living Church of God,"Brookfield, Wisconsin",2005-03-12,"On March 12, 2005, a 44-year-old computer technician about to lose his job in Brookfield, Wisconsin opened fire on a congregation at the Living Church of God, killing the minister, six others and wounding four more before committing suicide.",8,4,11,,,No,,,,,,White American or European American,Male,,,,4.306.396.691,-8.812.299.758,,,272.0
421,Tyler Courthouse,"Tyler, Texas",2005-02-24,"On February 24, 2005, a 43-year old man opened fire on his ex-wife and son in front of the Smith County Courthouse inTyler, Texas. After wounding three law enforcement officers and killing another civilian, the gunman was killed in a gun battle with officers. The shooter was being sued for unpaid child support.",3,4,6,,,Unknown,,,,,,Some other race,Male,,,,323.154.272,-9.530.501.087,,,273.0
423,Damageplan show at the Alrosa Villa Nightclub,"Columbus, Ohio",2004-12-08,"On December 8, 2004, a 25-year-old former mechanic for the US Marine Corps shot and killed the lead guitarist in the band Damageplan before shooting into the crowd at a concert at the Alrosa Villa Nightclub in Columbus, Ohio. Apparently upset by the breakup of the band Pantera, the shooter killed an additional three and wounded seven before being killed by police backstage.",5,7,11,,,Yes,,,,,,White American or European American,Male,,,,3.998.861.445,-8.298.904.135,,,275.0
424,"Birchwood, Wisconsin","Birchwood, Wisconsin",2004-11-21,"On November 21, 2004, a 36-year-old man hunting with companions in the forests of Birchwood, Wisconsin, encountered a group of hunters and began arguing with them over a deer stand that had apparently been on private land. He then opened fire on the hunters as a result of the confrontation, killing six and wounding two others before being arrested five hours later.",6,2,8,,,No,,,,,,Asian American,Male,,,,4.565.773.714,-9.155.077.175,,,276.0
425,Windy City Core Supply Warehouse,"Chicago, Illinois",2003-08-27,"On August 27, 2003, a 36-year-old former employee of Windy City Core Supply in Chicago, Illinois arrived at the warehouse in which he used to work and began shooting at the supervisors that fired him and other coworkers, killing six. He was later killed in a shoot-out with the police.",7,0,6,,,No,,,,,,Some other race,Male,,,,4.183.928.045,-8.768.818.145,,,277.0
427,Lockheed Martin,"Meridian, Mississippi",2003-07-08,"On July 8, 2003, a 48-year-old factory worker at Lockheed Martin in Meridian, Mississippi was attending a diversity training workshop mandated by his employer before excusing himself. Minutes later, he returned to the meeting and began shooting at his coworkers, killing six and wounding eight more before killing himself. The shooting was thought to have been racially motivated.",7,8,14,,,No,,,,,,White American or European American,Male,,,,3.238.455.246,-8.868.967.949,,,279.0
428,Case Western Reserve University,"Cleveland, Ohio",2003-05-09,"On May 9, 2003, a graduate of the Case Western Reserve University in Cleveland, Ohio began shooting on the school grounds, killing a student and wounding a professor and another student. He was later arrested after holding a building hostage for seven hours.",1,2,3,,,No,,,,,,Asian American,Male,,,,4.147.657.557,-8.168.051.502,,,280.0
429,University of Arizona College of Nursing,"Tucson, Arizona",2002-10-28,"On October 28, 2002, a 41-year-old nursing student failing out of his classes University of Arizona College of Nursing in Tucson, Arizona arrived on campus and shot three of his professors, killing them all, before committing suicide.",4,0,3,,,No,,,,,,Some other race,Male,,,,3.215.358.905,-1.109.677.647,,,281.0
430,Appalachian School of Law,"Grundy, Virginia",2002-01-16,"On January 16, 2002, a 43-year-old former student of the Appalachian School of Law in Grundy, Virginia arrived on campus and began shooting. He killed the dean, a professor, a student and wounded three others before being arrested.",3,3,6,,,No,,,,,,Black American or African American,Male,,,,3.727.537.712,-8.209.877.234,,,282.0
431,Santana High School,"Santee, San Diego, California",2001-03-05,"On March 5, 2001, a 15-year-old student of Santana High School in San Diego, California arrived to school and began shooting at his fellow classmates. Two students were killed and thirteen others were wounded before the shooter was taken into custody.",2,13,15,,,No,,,,,,White American or European American,Male,,,,3.286.357.277,-1.171.281.628,,,283.0
433,Navistar International,"Melrose Park, Illinois",2001-02-05,"On February 5, 2001, a 66-year-old fired employee arrived at his former workplace at Navistar in Melrose Park, Illinois with firearms, forced his way past security and began shooting at supervisors and coworkers before committing suicide. He had been scheduled to begin a prison sentence the next day on charges of stealing from his employer.",6,4,9,,,No,,,,,,Black American or African American,Male,,,,4.190.289.602,-878.643.021,,,285.0
435,Edgewater Technology,"Wakefield, Boston, Massachusetts",2000-12-26,"On December 26, 2000, a 42-year-old computer technician at Edgewater Technology in Wakefield, Massachusetts entered his office and began shooting at managers and coworkers, killing seven before he was arrested. He claimed he was sent as a time-traveler to kill Nazis, and his insanity plea was denied.",7,0,7,,,No,,,,,,Some other race,Male,,,,4.230.904.091,-7.110.271.358,,,287.0
437,Radisson Bay Harbor Inn,"Tampa, Florida",1999-12-30,"On December 30, 1999, a 36-year-old employee of the Radisson Bay Harbor Inn in Tampa, Florida arrived at his place of work and began shooting his coworkers, killing four and wounding three others. He fled the scene and attempted to steal a vehicle, killing the woman inside before being arrested.",5,3,8,,,No,,,,,,Some other race,Male,,,,2.799.601.861,-8.244.503.769,,,289.0
438,Fort Gibson Middle School,"Fort Gibson, Oklahoma",1999-12-06,"On December 6, 1999, a 13-year-old student at Fort Gibson Middle School in Fort Gibson, Oklahoma opened fire on his classmates for no apparent reason, wounding four before being stopped by a teacher and taken into custody.",0,4,4,,,No,,,,,,White American or European American,Male,,,,3.577.669.911,-9.525.996.596,,,290.0
440,Xerox Office Building,"Honolulu, Hawaii",1999-11-02,"On November 2, 1999, a 40-year-old Xerox employee arrived to work at his office in Honolulu, Hawaii and began shooting his coworkers, killing seven before fleeing. He was later arrested in the mountains of Honolulu and was found to have been suffering from paranoid delusions and hallucinations from mental illness.",7,0,7,,,Yes,,,,,,Asian American,Male,,,,21.309.106,-157.844.998,,,292.0
442,Wedgwood Baptist Church,"Fort Worth, Texas",1999-09-15,"On September 15,1999, a 47-year-old man entered the Wedgwood Baptist Church in Fort Worth, Texas during a prayer rally and began shooting, killing seven and wounding seven others before killing himself.",8,7,14,,,Yes,,,,,,White American or European American,Male,,,,3.274.802.142,-9.731.305.148,,,294.0
444,Offices of All-Tech Investment Group and Momentum Securities,"Atlanta, Georgia",1999-07-29,"On July 29, 1999, after murdering his wife and children in their home in Atlanta, Georgia over the prior two days, a 44-year-old day trader entered a stock exchange office, killing four and moving on to another office, where he killed an additional five and wounded twelve. He was pursued by police until he committed suicide at a gas station.",10,12,21,,,Yes,,,,,,White American or European American,Male,,,,337.629.969,-844.231.328,,,296.0
445,Heritage High School,"Conyers, Georgia",1999-05-20,"On May 20. 1999, a 15-year-old student of Heritage High School in Conyers, Georgia arrived on campus and began shooting his fellow students as he was upset over a breakup with his girlfriend. He non-fatally wounded six students before being arrested.",0,6,6,,,No,,,,,,White American or European American,Male,,,,3.366.086.267,-8.402.688.527,,,297.0
447,Columbine High School,"Littleton, Colorado",1999-04-20,"On April 20, 1999, two students ages 17 and 18 arrived on their campus at Columbine High School in Littleton, Colorado, planning to kill hundreds of their peers and teachers. After two large propane tank bombs failed to explode, the students began shooting at their classmates, killing twelve and a teacher and wounding twenty-four others. The incident ended when the students killed themselves simultaneously in the library.",15,24,37,,,Yes,,,,,,White American or European American,Male,,,,3.959.358.263,-1.050.152.112,,,299.0
448,Riverside City Hall,"Riverside, California",1998-10-06,"On October 6, 1998, a 48-year-old U.S. Postal Service employee entered a conference room at City Hall in Riverside, California and began shooting. He wounded the mayor, two council members and three police officers before being shot by police and taken into custody.",0,6,6,,,No,,,,,,Black American or African American,Male,,,,3.393.814.348,-1.173.948.409,,,300.0
449,Thurston High School shooting,"Springfield, Oregon",1998-05-21,"After he was expelled for having a gun in his locker, Kipland P. Kinkel, 15, a freshman at Thurston High, went on a shooting spree, killing his parents at home and two students at school. Five classmates wrestled Kipland to the ground before he was arrested.",4,25,29,,,Yes,,,,,,white,Male,,,,440.462.362,-1.230.220.289,,,301.0
450,Thurston High School,"Springfield, Oregon",1998-05-21,"On May 21, 1998, a 15-year-old student at Thurston High School in Springfield, Oregon arrived on campus the day after killing both his parents with firearms in their home. He began shooting at the students, killing two and wounding twenty-five others before being arrested.",4,25,29,,,Yes,,,,,,White American or European American,Male,,,,4.405.489.698,-1.230.075.562,,,302.0
451,Parker Middle School Dance,"Edinboro, Pennsylvania",1998-04-24,"On April 24, 1998, a 14-year-old student of Park Middle School in Edinboro, Pennsylvania was attending the end-of-the-year dance at an off-campus banquet hall. The student pulled his father's gun from a pocket and began shooting, killing a teacher and wounding another and two students before being arrested.",1,3,4,,,Yes,,,,,,White American or European American,Male,,,,4.187.617.136,-8.012.459.632,,,303.0
453,Westside Middle School,"Jonesboro, Arkansas",1998-03-24,"On March 24, 1998, a 13-year-old boy stole his mother's car that he and an 11-year-old cousin had loaded with guns and ammunition. When they arrived to Westside Middle School in Jonesboro, Arkansas, the younger boy pulled the fire alarm and met the elder on a hill overlooking the evacuation meeting site. They boys then began shooting at the crowd, killing four students and a teacher and wounding ten others before being arrested.",5,10,15,,,No,,,,,,White American or European American,Male,,,,3.582.083.155,-9.067.950.058,,,305.0
455,Connecticut State Lottery Headquarters,"Newington, Connecticut",1998-03-06,"On March 6, 1998, a 35-year-old disgruntled employee of the State Lottery in Newington, Connecticut arrived at his workplace and began shooting. He killed four of his coworkers and supervisors before committing suicide.",5,0,4,,,Yes,,,,,,White American or European American,Male,,,,4.168.700.845,-7.273.083.927,,,307.0
456,Milwaukee Post Office,"Milwaukee, Wisconsin",1997-12-19,"On December 19, 1997, a 37-year-old postal worker in Milwaukee, Wisconsin began shooting at the post office where he was employed. He shot and killed a coworker and wounded his supervisor and another coworker before committing suicide.",2,2,3,,,No,,,,,,Black American or African American,Male,,,,4.306.420.322,-8.796.724.385,,,308.0
458,Caltrans Maintenance Yard,"Orange, California",1997-12-18,"On December 18, 1997, a 41-year-old recently fired Caltrans employee arrived to his former office and began shooting at his former coworkers and supervisors. He killed four employees and wounded another and a police officer before being killed by police.",5,2,6,,,No,,,,,,Some other race,Male,,,,3.378.935.598,-117.820.412,,,310.0
459,Heath High School,"West Paducah, Kentucky",1997-12-01,"On December 1, 1997, a 14-year-old student at Heath High School in West Paducah, Kentucky brought stolen guns to campus and began shooting at a prayer group that met every day, killing three students and wounding five others before being arrested. The shooter was later found to have been suffering from paranoid schizophrenia.",3,5,8,,,Yes,,,,,,White American or European American,Male,,,,3.708.506,-8.874.422,,,311.0
460,Pearl High School,"Pearl, Mississippi",1997-10-01,"On October 1, 1997, a 16-year-old student of Pearl High School in Pearl, Mississippi stabbed his mother to death before heading to school. Once there, he shot and killed his ex-girlfriend and her friend before wounding an additional seven other students. He was stopped while fleeing the incident by a principal with a handgun and was arrested.",2,7,9,,,Yes,,,,,,White American or European American,Male,,,,3.227.492.783,-9.009.470.655,,,312.0
